series id,year,period,value,footnotes
BDS0000000000000000110001LQ5,2014,Q04,7617,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2014,Q03,7247,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2014,Q02,7454,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2014,Q01,6953,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2013,Q04,7255,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2013,Q03,7058,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2013,Q02,7152,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2013,Q01,6941,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2012,Q04,7110,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2012,Q03,6881,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2012,Q02,7051,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2012,Q01,7080,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2011,Q04,6865,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2011,Q03,7205,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2011,Q02,6966,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110001LQ5,2011,Q01,6540,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2014,Q04,6579,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2014,Q03,6670,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2014,Q02,6559,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2014,Q01,6534,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2013,Q04,6555,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2013,Q03,6551,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2013,Q02,6478,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2013,Q01,6383,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2012,Q04,6415,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2012,Q03,6629,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2012,Q02,6435,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2012,Q01,6132,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2011,Q04,6530,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2011,Q03,6364,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2011,Q02,6384,"Total private includes unclassified sector, not shown separately"
BDS0000000000000000110004LQ5,2011,Q01,6206,"Total private includes unclassified sector, not shown separately"
